,row_id,site,audio_id,seconds,birds,class,predictions
360,18003_COR_5,COR,18003,5,rucwar,target,0.15056197
361,18003_COR_10,COR,18003,10,background,other,0.17072742
362,18003_COR_15,COR,18003,15,background,other,0.17026006
363,18003_COR_20,COR,18003,20,rucwar,target,0.19478922
364,18003_COR_25,COR,18003,25,rucwar,target,0.16828099
365,18003_COR_30,COR,18003,30,rucwar,target,0.16919534
366,18003_COR_35,COR,18003,35,rucwar,target,0.19996771
367,18003_COR_40,COR,18003,40,rucwar,target,0.19739488
368,18003_COR_45,COR,18003,45,rucwar,target,0.20979123
369,18003_COR_50,COR,18003,50,rucwar,target,0.18698631
370,18003_COR_55,COR,18003,55,background,other,0.1790724
371,18003_COR_60,COR,18003,60,background,other,0.1695931
372,18003_COR_65,COR,18003,65,rucwar,target,0.19945623
373,18003_COR_70,COR,18003,70,background,other,0.18713029
374,18003_COR_75,COR,18003,75,background,other,0.21060029
375,18003_COR_80,COR,18003,80,rucwar,target,0.20109873
376,18003_COR_85,COR,18003,85,rucwar,target,0.19830446
377,18003_COR_90,COR,18003,90,background,other,0.19235732
378,18003_COR_95,COR,18003,95,background,other,0.19577605
379,18003_COR_100,COR,18003,100,background,other,0.17739797
380,18003_COR_105,COR,18003,105,background,other,0.20553909
381,18003_COR_110,COR,18003,110,background,other,0.19957623
382,18003_COR_115,COR,18003,115,background,other,0.19162655
383,18003_COR_120,COR,18003,120,background,other,0.17888035
384,18003_COR_125,COR,18003,125,background,other,0.14762112
385,18003_COR_130,COR,18003,130,background,other,0.16194917
386,18003_COR_135,COR,18003,135,background,other,0.14048332
387,18003_COR_140,COR,18003,140,rucwar,target,0.18553862
388,18003_COR_145,COR,18003,145,rucwar,target,0.06479258
389,18003_COR_150,COR,18003,150,rucwar,target,0.11758935
390,18003_COR_155,COR,18003,155,rucwar,target,0.14484534
391,18003_COR_160,COR,18003,160,rucwar,target,0.1561667
392,18003_COR_165,COR,18003,165,rucwar,target,0.15469085
393,18003_COR_170,COR,18003,170,rucwar,target,0.13318726
394,18003_COR_175,COR,18003,175,rucwar,target,0.15998957
395,18003_COR_180,COR,18003,180,rucwar,target,0.17126213
396,18003_COR_185,COR,18003,185,rucwar,target,0.18146998
397,18003_COR_190,COR,18003,190,rucwar,target,0.1911423
398,18003_COR_195,COR,18003,195,rucwar,target,0.20004179
399,18003_COR_200,COR,18003,200,grekis rucwar,target,0.20354414
400,18003_COR_205,COR,18003,205,rucwar,target,0.20335357
401,18003_COR_210,COR,18003,210,background,other,0.19714236
402,18003_COR_215,COR,18003,215,rucwar,target,0.1182404
403,18003_COR_220,COR,18003,220,rucwar,target,0.15709513
404,18003_COR_225,COR,18003,225,rucwar,target,0.2028584
405,18003_COR_230,COR,18003,230,rucwar,target,0.16328356
406,18003_COR_235,COR,18003,235,rucwar runwre1,target,0.18901888
407,18003_COR_240,COR,18003,240,rucwar,target,0.20810558
408,18003_COR_245,COR,18003,245,rucwar,target,0.18925795
409,18003_COR_250,COR,18003,250,rucwar,target,0.18679164
410,18003_COR_255,COR,18003,255,rucwar,target,0.20224126
411,18003_COR_260,COR,18003,260,rucwar,target,0.20023969
412,18003_COR_265,COR,18003,265,rucwar,target,0.2025037
413,18003_COR_270,COR,18003,270,rucwar,target,0.18734902
414,18003_COR_275,COR,18003,275,rucwar,target,0.2019782
415,18003_COR_280,COR,18003,280,background,other,0.1823025
416,18003_COR_285,COR,18003,285,rucwar,target,0.2000969
417,18003_COR_290,COR,18003,290,rtlhum rucwar,target,0.18057673
418,18003_COR_295,COR,18003,295,rucwar,target,0.16337682
419,18003_COR_300,COR,18003,300,rucwar,target,0.1551336
420,18003_COR_305,COR,18003,305,rucwar,target,0.07833994
421,18003_COR_310,COR,18003,310,rucwar,target,0.09178317
422,18003_COR_315,COR,18003,315,rucwar,target,0.2165807
423,18003_COR_320,COR,18003,320,hofwoo1,other,0.19893622
424,18003_COR_325,COR,18003,325,hofwoo1 rucwar,target,0.18432336
425,18003_COR_330,COR,18003,330,rucwar,target,0.17271683
426,18003_COR_335,COR,18003,335,hofwoo1 rucwar,target,0.08748571
427,18003_COR_340,COR,18003,340,rucwar,target,0.1800388
428,18003_COR_345,COR,18003,345,rucwar,target,0.19752638
429,18003_COR_350,COR,18003,350,rucwar,target,0.21386331
430,18003_COR_355,COR,18003,355,rucwar,target,0.21484797
431,18003_COR_360,COR,18003,360,rucwar,target,0.13492328
432,18003_COR_365,COR,18003,365,rucwar,target,0.21721844
433,18003_COR_370,COR,18003,370,rucwar,target,0.20836967
434,18003_COR_375,COR,18003,375,rucwar,target,0.21928874
435,18003_COR_380,COR,18003,380,rucwar,target,0.20534027
436,18003_COR_385,COR,18003,385,rucwar,target,0.21350117
437,18003_COR_390,COR,18003,390,rucwar,target,0.23907305
438,18003_COR_395,COR,18003,395,rucwar,target,0.17662293
439,18003_COR_400,COR,18003,400,rucwar,target,0.19955096
440,18003_COR_405,COR,18003,405,rucwar,target,0.2644095
441,18003_COR_410,COR,18003,410,rucwar,target,0.20861252
442,18003_COR_415,COR,18003,415,rucwar,target,0.17861722
443,18003_COR_420,COR,18003,420,rucwar,target,0.23993976
444,18003_COR_425,COR,18003,425,rucwar,target,0.17515782
445,18003_COR_430,COR,18003,430,rucwar,target,0.19602996
446,18003_COR_435,COR,18003,435,rucwar,target,0.19229208
447,18003_COR_440,COR,18003,440,rucwar,target,0.17842321
448,18003_COR_445,COR,18003,445,background,other,0.17564215
449,18003_COR_450,COR,18003,450,rucwar,target,0.17523056
450,18003_COR_455,COR,18003,455,rucwar,target,0.17823455
451,18003_COR_460,COR,18003,460,rucwar,target,0.19070116
452,18003_COR_465,COR,18003,465,rucwar,target,0.15467218
453,18003_COR_470,COR,18003,470,rucwar,target,0.1772111
454,18003_COR_475,COR,18003,475,background,other,0.17225952
455,18003_COR_480,COR,18003,480,background,other,0.19454505
456,18003_COR_485,COR,18003,485,hofwoo1,other,0.17325287
457,18003_COR_490,COR,18003,490,hofwoo1,other,0.15566976
458,18003_COR_495,COR,18003,495,hofwoo1 rucwar runwre1,target,0.18117741
459,18003_COR_500,COR,18003,500,rucwar runwre1,target,0.19499893
460,18003_COR_505,COR,18003,505,rucwar,target,0.17631128
461,18003_COR_510,COR,18003,510,rucwar,target,0.14712226
462,18003_COR_515,COR,18003,515,rucwar,target,0.18760379
463,18003_COR_520,COR,18003,520,rucwar,target,0.19304149
464,18003_COR_525,COR,18003,525,rucwar,target,0.16843946
465,18003_COR_530,COR,18003,530,rucwar,target,0.17993261
466,18003_COR_535,COR,18003,535,rucwar,target,0.13990442
467,18003_COR_540,COR,18003,540,background,other,0.17101666
468,18003_COR_545,COR,18003,545,rucwar,target,0.16086318
469,18003_COR_550,COR,18003,550,rucwar,target,0.18067604
470,18003_COR_555,COR,18003,555,background,other,0.1541626
471,18003_COR_560,COR,18003,560,rucwar,target,0.1596346
472,18003_COR_565,COR,18003,565,background,other,0.18242389
473,18003_COR_570,COR,18003,570,rucwar,target,0.16074772
474,18003_COR_575,COR,18003,575,rucwar,target,0.17637123
475,18003_COR_580,COR,18003,580,rucwar,target,0.17847928
476,18003_COR_585,COR,18003,585,rucwar,target,0.17107902
477,18003_COR_590,COR,18003,590,runwre1,other,0.15509097
478,18003_COR_595,COR,18003,595,rucwar runwre1,target,0.14262941
479,18003_COR_600,COR,18003,600,rucwar,target,0.16269474
